CL:0000000	cell
CL:0000001	primary cultured cell
CL:0000003	native cell
CL:0000005	fibroblast neural crest derived
CL:0000006	neuronal receptor cell
CL:0000007	early embryonic cell
CL:0000008	migratory cranial neural crest cell
CL:0000010	cultured cell
CL:0000011	migratory trunk neural crest cell
CL:0000014	germ line stem cell
CL:0000015	male germ cell
CL:0000016	male germ line stem cell
CL:0000017	spermatocyte
CL:0000018	spermatid
CL:0000019	sperm
CL:0000020	spermatogonium
CL:0000021	female germ cell
CL:0000022	female germ line stem cell
CL:0000023	oocyte
CL:0000024	oogonial cell
CL:0000025	egg cell
CL:0000026	invertebrate nurse cell
CL:0000027	smooth muscle cell neural crest derived
CL:0000028	CNS neuron (sensu Nematoda and Protostomia)
CL:0000029	neuron neural crest derived
CL:0000030	glioblast
CL:0000031	neuroblast
CL:0000032	neuroplacodal cell
CL:0000033	apocrine cell
CL:0000034	stem cell
CL:0000035	single fate stem cell
CL:0000036	epithelial fate stem cell
CL:0000037	hematopoietic stem cell
CL:0000038	erythroid progenitor cell
CL:0000039	germ line cell
CL:0000040	monoblast
CL:0000041	mature eosinophil
CL:0000042	neutrophilic myeloblast
CL:0000043	mature basophil
CL:0000047	neuronal stem cell
CL:0000048	multi fate stem cell
CL:0000049	common myeloid progenitor
CL:0000050	megakaryocyte-erythroid progenitor cell
CL:0000051	common lymphoid progenitor
CL:0000052	totipotent stem cell
CL:0000054	bone matrix secreting cell
CL:0000055	non-terminally differentiated cell
CL:0000056	myoblast
CL:0000057	fibroblast
CL:0000058	chondroblast
CL:0000059	ameloblast
CL:0000060	odontoblast
CL:0000061	cementoblast
CL:0000062	osteoblast
CL:0000064	ciliated cell
CL:0000065	ependymal cell
CL:0000066	epithelial cell
CL:0000067	ciliated epithelial cell
CL:0000068	duct epithelial cell
CL:0000069	branched duct epithelial cell
CL:0000071	blood vessel endothelial cell
CL:0000072	non-branched duct epithelial cell
CL:0000073	barrier epithelial cell
CL:0000075	columnar/cuboidal epithelial cell
CL:0000076	squamous epithelial cell
CL:0000077	mesothelial cell
CL:0000078	peridermal cell
CL:0000079	stratified epithelial cell
CL:0000080	circulating cell
CL:0000081	blood cell
CL:0000082	epithelial cell of lung
CL:0000083	epithelial cell of pancreas
CL:0000084	T cell
CL:0000085	germ line stem cell (sensu Vertebrata)
CL:0000086	germ line stem cell (sensu Nematoda and Protostomia)
CL:0000087	male germ line stem cell (sensu Nematoda and Protostomia)
CL:0000088	female germ line stem cell (sensu Nematoda and Protostomia)
CL:0000089	male germ line stem cell (sensu Vertebrata)
CL:0000090	female germ line stem cell (sensu Vertebrata)
CL:0000091	Kupffer cell
CL:0000092	osteoclast
CL:0000094	granulocyte
CL:0000095	neuron associated cell
CL:0000096	mature neutrophil
CL:0000097	mast cell
CL:0000098	sensory epithelial cell
CL:0000099	interneuron
CL:0000100	motor neuron
CL:0000101	sensory neuron
CL:0000102	polymodal neuron
CL:0000103	bipolar neuron
CL:0000104	multipolar neuron
CL:0000105	pseudounipolar neuron
CL:0000106	unipolar neuron
CL:0000107	autonomic neuron
CL:0000108	cholinergic neuron
CL:0000109	adrenergic neuron
CL:0000110	peptidergic neuron
CL:0000111	peripheral neuron
CL:0000112	columnar neuron
CL:0000113	mononuclear phagocyte
CL:0000114	surface ectodermal cell
CL:0000115	endothelial cell
CL:0000116	pioneer neuron
CL:0000117	CNS neuron (sensu Vertebrata)
CL:0000118	basket cell
CL:0000119	cerebellar Golgi cell
CL:0000120	granule cell
CL:0000121	Purkinje cell
