,NLP-ML + Expression,Expression,NLP-ML + MetaSRA + Expression
NA (226),"[0.99536369 0.83628904 0.12319577 0.9529758  0.92547186 0.99163094
 0.81061797 0.33340614 0.86448611 0.95138889 0.84711341 0.98337302
 1.         0.99891236 0.98978396 0.72294327 0.96195773 0.97410752
 0.98490497 0.9939864  0.64351951 0.72412271 0.96394835 0.97952035
 0.17588096 0.01615542 0.98764044 0.97979734 0.43712377 0.98333333
 0.85186694 0.99537783 0.90616267 0.52791549 0.92474556 0.88350014
 0.16003047 0.97003632 0.99962531 0.99510234]","[0.97613281 0.66032678 0.0108804  0.95510686 0.89366592 0.9654432
 0.70649348 0.24618446 0.74449084 0.85555556 0.89047563 0.98179878
 1.         0.98619152 0.96503433 0.61078246 0.92307949 0.96095141
 0.78031465 0.98175309 0.53101916 0.56160058 0.84982761 0.93266523
 0.14120866 0.00172818 0.64679001 0.93266859 0.32558088 0.89722222
 0.78412586 0.98786449 0.89085204 0.63165096 0.69386093 0.75766379
 0.23445562 0.8057912  0.99689039 0.96581769]","[0.99536369 0.85628177 0.45493997 0.9589131  0.91116918 0.99163094
 0.8642182  1.         0.86745397 1.         0.84711341 0.98337302
 1.         0.99891236 0.98978396 0.74030062 0.97595511 0.97410752
 0.98490497 0.99547751 0.8236855  0.84770584 0.96500382 0.97952035
 0.67864495 0.52328912 1.         0.98865614 0.43712377 1.
 0.84638266 0.99681431 0.92858424 0.51233487 0.99459841 0.88564805
 0.16003047 0.97003632 0.99962531 0.9995915 ]"
reproductive system (83),"[0.99161511 0.39777227 0.41833135 0.99643159 0.74838947 0.80908742
 0.74709878 0.64773524 0.38615402 0.51031113 0.01332429 0.68984989
 0.71556749 0.73687167 0.2872396  0.47412514 0.20804072]","[0.844819   0.27890723 0.49194935 0.79183537 0.69487166 0.81064703
 0.63859861 0.67689852 0.59415868 0.52752331 0.07173607 0.73262698
 0.71406143 0.76484863 0.375891   0.81465939 0.32642041]","[0.99161511 0.39777227 0.41833135 0.99643159 0.75089367 0.80908742
 0.99198138 0.72882383 0.71612423 0.51031113 0.80246941 0.74258464
 0.80220211 0.74743731 0.2872396  0.47412514 0.20804072]"
nervous system (180),"[1.         0.72301136 0.99962031 0.90436723 0.83619035 0.6596007
 1.         0.98517045 1.         0.76801523 1.         0.6677352
 0.738407   0.69854038 1.         0.8300381  0.83695935 1.
 0.78210634 1.         1.         0.93858399 0.71671851 0.60910515
 0.6423143  0.55085344 1.        ]","[1.         0.65119591 0.96427191 0.89557471 0.69560864 0.51827236
 1.         0.97175874 1.         0.72004679 1.         0.6821309
 0.70146139 0.82862065 1.         0.84550777 0.87848953 1.
 0.77785477 1.         1.         0.85850505 0.82743279 0.72034522
 0.56931584 0.58995067 1.        ]","[1.         0.72301136 0.99257839 0.97311537 1.         0.6596007
 1.         1.         1.         0.76801523 1.         0.61323953
 1.         1.         1.         0.92270805 0.96706969 1.
 0.71993185 1.         1.         1.         1.         1.
 0.99519231 0.6992283  1.        ]"
endocrine system (842),[0.98411222],[0.95113279],[0.98601565]
digestive system (92),"[0.97564966 0.21627828 0.29645525 0.14961421 0.9964113  1.
 0.99634002 0.9237336  0.75327597 0.90625076 0.28864424 0.96978381
 0.10494866 0.11196025 0.81015317 0.15368902]","[0.95908572 0.21235786 0.12086139 0.09515599 0.97526421 1.
 0.99173908 0.77318941 0.74657459 0.80223117 0.11749823 0.94191686
 0.03534564 0.01355657 0.68600148 0.02752371]","[0.99565649 0.51422848 0.5723854  0.14961421 0.99999434 1.
 0.99935173 1.         1.         0.99778842 0.28864424 0.99992767
 0.4842229  0.32182839 0.99025817 0.47953205]"
integumental system (66),[0.9647619  0.5531174  0.99317043],[0.95181973 0.60048314 0.98608432],[0.9647619  0.56335913 0.9824515 ]
exocrine system (527),[0.92391952 0.84878788],[0.91778726 1.        ],[0.95369986 0.84878788]
immune system (302),"[0.88424496 0.07507108 0.9470015  0.89075685 0.88662808 0.86808904
 0.82471602 0.86516646 0.85783538 0.95543478 0.59548068 0.96321429
 0.14085989 0.88669022 0.0609879  0.8352038 ]","[0.95206804 0.0195842  0.8600588  0.83842724 0.73872365 0.75442219
 0.79927937 0.71180754 0.98333333 0.88524287 0.56316964 0.80269896
 0.03442496 0.72227263 0.02839353 0.90938393]","[0.91630233 0.17571524 0.92613129 0.88095479 0.89194047 0.81832582
 0.88738664 0.97834044 1.         1.         0.76551664 1.
 0.52237165 0.95786251 0.6118825  1.        ]"
musculoskeletal system (298),"[0.36252156 1.         1.         0.41192031 1.         0.28342839
 0.26787207 1.         1.        ]","[0.28766791 1.         1.         0.2535703  1.         0.2143986
 0.12217168 1.         1.        ]","[0.40663846 1.         1.         0.42345872 1.         0.43292989
 0.26787207 1.         1.        ]"
cardiovascular system (47),"[1.         1.         0.99136905 1.         1.         1.
 0.99404762 1.        ]","[1.         1.         0.98593604 0.9875     1.         1.
 0.99404762 0.99921538]","[1.         1.         0.99136905 1.         1.         1.
 0.99404762 1.        ]"
respiratory system (154),"[0.78793739 0.79748886 0.9734558  0.76749958 0.83006252 0.77941349
 0.61747658 0.77035918 0.79646673 0.9897554  0.92095243]","[0.85116598 0.67546577 0.74042481 0.73999643 0.73476647 0.55934374
 0.69985372 0.79732586 0.79179879 0.92786633 0.90564571]","[0.99099575 0.995948   1.         0.97335441 1.         0.85639623
 0.94307293 0.77035918 1.         0.99918733 0.95838302]"
hematopoietic system (664),[0.9425244  0.12194973],[0.89564925 0.04284638],[0.94528804 0.38088069]
renal system (250),[0.85306597],[0.93669474],[0.80786929]
